Datetime_GMT0,DOY,H,D,Z,F,Hours_in_day,Hours_in_year,Data_source
1964-01-11 23:00:00,11,nan,nan,nan,nan,23,264,WDC
1964-01-12 00:00:00,12,nan,nan,nan,nan,0,265,WDC
1964-01-12 01:00:00,12,nan,nan,nan,nan,1,266,WDC
1964-01-12 02:00:00,12,nan,nan,nan,nan,2,267,WDC
1964-01-12 03:00:00,12,nan,nan,nan,nan,3,268,WDC
1964-01-12 04:00:00,12,nan,nan,nan,nan,4,269,WDC
1964-01-12 05:00:00,12,nan,nan,nan,nan,5,270,WDC
1964-01-12 06:00:00,12,nan,nan,nan,nan,6,271,WDC
1964-01-12 07:00:00,12,nan,nan,nan,nan,7,272,WDC
1964-01-12 08:00:00,12,nan,nan,nan,nan,8,273,WDC
1964-01-12 09:00:00,12,nan,nan,nan,nan,9,274,WDC
1964-01-12 10:00:00,12,nan,nan,nan,nan,10,275,WDC
1964-01-12 11:00:00,12,nan,nan,nan,nan,11,276,WDC
1964-01-12 12:00:00,12,nan,nan,nan,nan,12,277,WDC
1964-01-12 13:00:00,12,nan,nan,nan,nan,13,278,WDC
1964-01-12 14:00:00,12,nan,nan,nan,nan,14,279,WDC
1964-01-12 15:00:00,12,nan,nan,nan,nan,15,280,WDC
1964-01-12 16:00:00,12,nan,nan,nan,nan,16,281,WDC
1964-01-12 17:00:00,12,nan,nan,nan,nan,17,282,WDC
1964-01-12 18:00:00,12,nan,nan,nan,nan,18,283,WDC
1964-01-12 19:00:00,12,nan,nan,nan,nan,19,284,WDC
1964-01-12 20:00:00,12,nan,nan,nan,nan,20,285,WDC
1964-01-12 21:00:00,12,nan,nan,nan,nan,21,286,WDC
1964-01-12 22:00:00,12,nan,nan,nan,nan,22,287,WDC
1964-01-12 23:00:00,12,nan,nan,nan,nan,23,288,WDC
1964-01-13 00:00:00,13,nan,nan,nan,nan,0,289,WDC
1964-01-13 01:00:00,13,nan,nan,nan,nan,1,290,WDC
1964-01-13 02:00:00,13,nan,nan,nan,nan,2,291,WDC
1964-01-13 03:00:00,13,nan,nan,nan,nan,3,292,WDC
1964-01-13 04:00:00,13,nan,nan,nan,nan,4,293,WDC
1964-01-13 05:00:00,13,nan,nan,nan,nan,5,294,WDC
1964-01-13 06:00:00,13,nan,nan,nan,nan,6,295,WDC
1964-01-13 07:00:00,13,nan,nan,nan,nan,7,296,WDC
1964-01-13 08:00:00,13,nan,nan,nan,nan,8,297,WDC
1964-01-13 09:00:00,13,nan,nan,nan,nan,9,298,WDC
1964-01-13 10:00:00,13,nan,nan,nan,nan,10,299,WDC
1964-01-13 11:00:00,13,nan,nan,nan,nan,11,300,WDC
1964-01-13 12:00:00,13,nan,nan,nan,nan,12,301,WDC
1964-01-13 13:00:00,13,nan,nan,nan,nan,13,302,WDC
1964-01-13 14:00:00,13,nan,nan,nan,nan,14,303,WDC
1964-01-13 15:00:00,13,nan,nan,nan,nan,15,304,WDC
1964-01-13 16:00:00,13,nan,nan,nan,nan,16,305,WDC
1964-01-13 17:00:00,13,nan,nan,nan,nan,17,306,WDC
1964-01-13 18:00:00,13,nan,nan,nan,nan,18,307,WDC
1964-01-13 19:00:00,13,nan,nan,nan,nan,19,308,WDC
1964-01-13 20:00:00,13,nan,nan,nan,nan,20,309,WDC
1964-01-13 21:00:00,13,nan,nan,nan,nan,21,310,WDC
1964-01-13 22:00:00,13,nan,nan,nan,nan,22,311,WDC
1964-01-13 23:00:00,13,nan,nan,nan,nan,23,312,WDC
1964-01-14 00:00:00,14,nan,nan,nan,nan,0,313,WDC
1964-01-14 01:00:00,14,nan,nan,nan,nan,1,314,WDC
1964-01-14 02:00:00,14,nan,nan,nan,nan,2,315,WDC
1964-01-14 03:00:00,14,nan,nan,nan,nan,3,316,WDC
1964-01-14 04:00:00,14,nan,nan,nan,nan,4,317,WDC
1964-01-14 05:00:00,14,nan,nan,nan,nan,5,318,WDC
1964-01-14 06:00:00,14,nan,nan,nan,nan,6,319,WDC
1964-01-14 07:00:00,14,nan,nan,nan,nan,7,320,WDC
1964-01-14 08:00:00,14,nan,nan,nan,nan,8,321,WDC
1964-01-14 09:00:00,14,nan,nan,nan,nan,9,322,WDC
1964-01-14 10:00:00,14,nan,nan,nan,nan,10,323,WDC
1964-01-14 11:00:00,14,nan,nan,nan,nan,11,324,WDC
1964-01-14 12:00:00,14,nan,nan,nan,nan,12,325,WDC
1964-01-14 13:00:00,14,nan,nan,nan,nan,13,326,WDC
1964-01-14 14:00:00,14,nan,nan,nan,nan,14,327,WDC
1964-01-14 15:00:00,14,nan,nan,nan,nan,15,328,WDC
1964-01-14 16:00:00,14,nan,nan,nan,nan,16,329,WDC
1964-01-14 17:00:00,14,nan,nan,nan,nan,17,330,WDC
1964-01-14 18:00:00,14,nan,nan,nan,nan,18,331,WDC
1964-01-14 19:00:00,14,nan,nan,nan,nan,19,332,WDC
1964-01-14 20:00:00,14,nan,nan,nan,nan,20,333,WDC
1964-01-14 21:00:00,14,nan,nan,nan,nan,21,334,WDC
1964-01-14 22:00:00,14,nan,nan,nan,nan,22,335,WDC
1964-01-14 23:00:00,14,nan,nan,nan,nan,23,336,WDC
1964-01-15 00:00:00,15,nan,nan,nan,nan,0,337,WDC
1964-01-15 01:00:00,15,nan,nan,nan,nan,1,338,WDC
